,srcDistrictName,Number of Households issue Job Card Schedule Castes (SC),Number of Households issue Job Card Others,Total number of Households issue Job Card,Number of person days generated Scheduled Caste (SCs),Total number of person days generated,Families completed 100days Scheduled Caste (SCs),Families completed 100days Others,Total Families completed 100 days,YearCode
0,ri bhoi,0,0,135,0,8031,0,0,1,2016
1,khasi hills,0,0,62,0,3649,0,0,3,2021
2,garo hills,0,0,35,0,2114,0,0,0,2016
3,khasi hills,0,0,24,0,1363,0,0,0,2015
4,khasi hills,0,0,119,0,9247,0,0,0,2019
5,garo hills,0,3,40,0,2350,0,0,6,2017
6,garo hills,0,1,16,0,1083,0,0,0,2016
7,khasi hills,0,1,62,0,2611,0,0,0,2020
8,garo hills,0,0,8,0,686,0,0,0,2016
9,khasi hills,0,0,43,0,3559,0,0,1,2017
10,garo hills,0,0,50,0,1864,0,0,0,2015
11,garo hills,126,51,177,9936,13748,1,1,2,2018
12,khasi hills,0,0,116,0,10800,0,0,108,2020
13,khasi hills,3,0,41,25,344,0,0,0,2014
14,garo hills,0,0,87,0,8489,0,0,62,2018
15,garo hills,0,0,23,0,1100,0,0,0,2021
16,ri bhoi,1,5,126,47,6355,0,0,2,2017
17,garo hills,0,0,76,0,7540,0,0,75,2018
18,garo hills,22,24,212,2116,21106,20,24,208,2019
19,garo hills,0,12,166,0,10471,0,0,0,2021
20,ri bhoi,0,1,109,0,6339,0,0,0,2019
21,garo hills,0,0,124,0,10065,0,0,1,2019
22,garo hills,0,1,71,0,6890,0,1,62,2018
23,khasi hills,0,0,119,0,7610,0,0,0,2020
24,khasi hills,0,0,31,0,2554,0,0,0,2016
25,ri bhoi,0,0,86,0,2966,0,0,0,2016
26,garo hills,39,0,140,3547,12761,0,0,0,2021
27,garo hills,0,0,59,0,5564,0,0,0,2017
28,garo hills,0,1,31,0,2600,0,1,26,2020
29,khasi hills,0,0,94,0,0,0,0,0,2014
30,garo hills,0,0,90,0,1437,0,0,0,2019
31,garo hills,0,0,24,0,1098,0,0,0,2014
32,ri bhoi,0,1,130,0,10287,0,0,64,2020
33,garo hills,0,4,112,0,5154,0,0,0,2014
34,garo hills,0,0,67,0,6510,0,0,63,2021
35,garo hills,0,0,34,0,1573,0,0,0,2014
36,khasi hills,0,0,26,0,0,0,0,0,2016
37,ri bhoi,0,5,303,0,3862,0,0,0,2014
38,garo hills,0,1,29,0,0,0,0,0,2014
39,khasi hills,0,0,17,0,1600,0,0,16,2020
40,jaintia hills,0,0,196,0,12498,0,0,0,2017
41,khasi hills,0,0,171,0,5600,0,0,0,2019
42,garo hills,0,1,61,0,4300,0,0,0,2015
43,jaintia hills,0,0,20,0,1870,0,0,15,2018
44,ri bhoi,0,0,23,0,0,0,0,0,2014
45,khasi hills,0,0,170,0,8785,0,0,1,2019
46,garo hills,0,0,89,0,6084,0,0,39,2018
47,khasi hills,0,0,260,0,10535,0,0,0,2020
48,garo hills,0,2,34,0,2595,0,0,0,2018
49,garo hills,0,4,69,0,6600,0,4,66,2021
50,khasi hills,0,0,84,0,1408,0,0,0,2017
51,khasi hills,0,0,85,0,8300,0,0,83,2020
52,khasi hills,0,0,173,0,4497,0,0,0,2019
53,garo hills,0,0,46,0,0,0,0,0,2014
54,khasi hills,0,0,92,0,3250,0,0,0,2018
55,khasi hills,0,0,91,0,0,0,0,0,2014
56,khasi hills,0,0,37,0,1712,0,0,0,2017
57,jaintia hills,0,0,289,0,13152,0,0,0,2021
58,ri bhoi,0,1,34,0,2842,0,0,0,2016
59,garo hills,1,151,152,16,2384,0,0,0,2014
